rq_id,rq_title,obs_id,obs_number,obs_title,question,released_answer
RQ1,Speed profiling,Obs. 1.1,1.1,Community is the fastest overall operational profile,Which style is the fastest overall operational profile?,Community
RQ1,Speed profiling,Obs. 1.2,1.2,"GMD reaches the instrumentation path fastest, but does not finish fastest",Which style shows the clearest fast-entry profile without being the fastest overall finisher?,GMD
RQ1,Speed profiling,Obs. 1.3,1.3,Third-Party is the slowest sustained-execution profile,Which style is the slowest sustained-execution profile?,Third-Party
RQ1,Speed profiling,Obs. 1.4,1.4,Custom shows a mixed speed profile,"Which style shows a mixed speed profile with competitive entry, middling core path, and a long completion tail?",Custom
RQ1,Speed profiling,Obs. 1.5,1.5,Community’s speed advantage is concentrated in the core execution windows and comes with a longer tail,Which style combines a fast core execution profile with a longer residual tail?,Community
RQ2,Predictability and tail risk,Obs. 2.1,2.1,GMD is the most predictable style on the main completion-oriented measures,Which style is the most predictable on the main completion-oriented measures?,GMD
RQ2,Predictability and tail risk,Obs. 2.2,2.2,"Community is fast in typical terms, but predictability-poor",Which style is fast in typical terms but predictability-poor?,Community
RQ2,Predictability and tail risk,Obs. 2.3,2.3,Third-Party carries the strongest absolute tail-risk profile,Which style carries the strongest absolute tail-risk profile?,Third-Party
RQ2,Predictability and tail risk,Obs. 2.4,2.4,Custom has a mixed predictability profile and should be interpreted cautiously,Which style shows a mixed predictability profile that should be interpreted cautiously?,Custom
RQ3,Overhead composition and actionable levers,Obs. 3.1,3.1,GMD is the clearest execution-centric style,Which style is the clearest execution-centric overhead profile?,GMD
RQ3,Overhead composition and actionable levers,Obs. 3.2,3.2,"Third-Party is best characterized by heavy entry and heavy execution, not by a dominant completion tail",Which style is best characterized by heavy entry plus heavy execution rather than a dominant completion tail?,Third-Party
RQ3,Overhead composition and actionable levers,Obs. 3.3,3.3,Community has a distributed overhead profile rather than a single dominant overhead source,Which style has a distributed overhead profile rather than a single dominant overhead source?,Community
RQ3,Overhead composition and actionable levers,Obs. 3.4,3.4,"Custom remains a cautious, tail-heavy mixed case",Which style remains a cautious tail-heavy mixed overhead case?,Custom
RQ4,Deployment context and run-level verdict usability,Obs. 4.1,4.1,"Styles differ in usable run-level verdict rates, although the overall separation is modest",Which style currently has the strongest usable run-level verdict rate?,GMD
RQ4,Deployment context and run-level verdict usability,Obs. 4.2,4.2,"Among usable verdicts, styles differ sharply in success rate",Which style currently has the strongest success rate among usable verdicts?,GMD
RQ4,Deployment context and run-level verdict usability,Obs. 4.3,4.3,Styles are deployed in markedly different CI trigger contexts,Do the styles remain deployed in markedly different CI trigger contexts?,Yes
RQ4,Deployment context and run-level verdict usability,Obs. 4.4,4.4,"For Third-Party and Custom, success rate is strongly trigger-conditioned",Which styles remain strongly trigger-conditioned in success behavior?,Third-Party and Custom
