rq_id,rq_title,obs_id,obs_number,obs_title,question,released_answer,L1_target_answer_2026_04_14,L1_validate_2026_04_14,L1_note_2026_04_14,L1_favored_answer_2026_04_14,L1_favored_note_2026_04_14,ACTIVE_2026_04_14,L1_target_source_2026_04_14
RQ1,Speed profiling,Obs. 1.1,1.1,Community is the fastest overall operational profile,Which style is the fastest overall operational profile?,Community,Community,Passed,"Kruskal on study_run_duration_seconds: p=1.37e-63, epsilon^2=0.038; vs GMD: p_adj=1.9e-11, rbc=0.244, vs Third-Party: p_adj=2.57e-54, rbc=0.406, vs Custom: p_adj=0.00214, rbc=0.284. stored='Community', winner='Community'. Fail only when winner changes with significant omnibus + pairwise support and meaningful effect size.",Community,Primary measurement: study_run_duration_seconds; winner = lowest median run duration.,Community,ACTIVE_2026_03_27
RQ1,Speed profiling,Obs. 1.2,1.2,"GMD reaches the instrumentation path fastest, but does not finish fastest",Which style shows the clearest fast-entry profile without being the fastest overall finisher?,GMD,GMD,Passed,"Kruskal on study_pre_invocation_selected_stage3_seconds: p=1.49e-10, epsilon^2=0.010; vs Community: p_adj=0.000334, rbc=0.194, vs Third-Party: p_adj=2.08e-33, rbc=0.954, vs Custom: p_adj=0.0784, rbc=0.173. stored='GMD', winner='GMD'. Fail only when winner changes with significant omnibus + pairwise support and meaningful effect size.",GMD,Primary measurement: study_pre_invocation_selected_stage3_seconds; winner = lowest median fast-entry metric.,GMD,ACTIVE_2026_03_27
RQ1,Speed profiling,Obs. 1.3,1.3,Third-Party is the slowest sustained-execution profile,Which style is the slowest sustained-execution profile?,Third-Party,Third-Party,Passed,"Kruskal on study_invocation_execution_window_selected_stage3_seconds: p=3.28e-38, epsilon^2=0.038; vs Community: p_adj=1.38e-25, rbc=0.616, vs GMD: p_adj=3.11e-09, rbc=0.468, vs Custom: p_adj=2.49e-08, rbc=0.677. stored='Third-Party', winner='Third-Party'. Fail only when winner changes with significant omnibus + pairwise support and meaningful effect size.",Third-Party,Primary measurement: study_invocation_execution_window_selected_stage3_seconds; winner = highest median sustained-execution burden.,Third-Party,ACTIVE_2026_03_27
RQ1,Speed profiling,Obs. 1.4,1.4,Custom shows a mixed speed profile,"Which style shows a mixed speed profile with competitive entry, middling core path, and a long completion tail?",Custom,GMD,Passed,"Kruskal on study_post_invocation_selected_stage3_seconds: p=7.14e-60, epsilon^2=0.060; vs Custom: p_adj=1, rbc=-0.827, vs Community: p_adj=1, rbc=-0.731, vs Third-Party: p_adj=1, rbc=-0.012. stored='GMD', winner='Custom'. Fail only when winner changes with significant omnibus + pairwise support and meaningful effect size.",Custom,Primary measurement: study_post_invocation_selected_stage3_seconds; winner = highest median completion-tail metric.,GMD,ACTIVE_2026_03_27
RQ1,Speed profiling,Obs. 1.5,1.5,Community’s speed advantage is concentrated in the core execution windows and comes with a longer tail,Which style combines a fast core execution profile with a longer residual tail?,Community,GMD,Passed,"Kruskal on study_post_invocation_selected_stage3_seconds: p=1.43e-59, epsilon^2=0.059; vs Community: p_adj=1, rbc=-0.731, vs Third-Party: p_adj=1, rbc=-0.012. stored='GMD', winner='Community'. Fail only when winner changes with significant omnibus + pairwise support and meaningful effect size.",Community,Primary measurement: study_post_invocation_selected_stage3_seconds; winner = highest median tail metric within the fast-core candidate set.,GMD,ACTIVE_2026_03_27
RQ2,Predictability and tail risk,Obs. 2.1,2.1,GMD is the most predictable style on the main completion-oriented measures,Which style is the most predictable on the main completion-oriented measures?,GMD,GMD,Passed,"Kruskal on predictability loss on study_run_duration_seconds: p=9.76e-111, epsilon^2=0.066; vs Community: p_adj=2.71e-100, rbc=0.772, vs Third-Party: p_adj=7.95e-48, rbc=0.634, vs Custom: p_adj=1.07e-10, rbc=0.669. stored='GMD', winner='GMD'. Fail only when winner changes with significant omnibus + pairwise support and meaningful effect size.",GMD,Primary measurement: predictability loss on study_run_duration_seconds; winner = lowest median normalized deviation.,GMD,ACTIVE_2026_03_27
RQ2,Predictability and tail risk,Obs. 2.2,2.2,"Community is fast in typical terms, but predictability-poor",Which style is fast in typical terms but predictability-poor?,Community,Community,Passed,"Kruskal on predictability loss on study_run_duration_seconds: p=1.81e-100, epsilon^2=0.063; vs GMD: p_adj=9.05e-101, rbc=0.772. stored='Community', winner='Community'. Fail only when winner changes with significant omnibus + pairwise support and meaningful effect size.",Community,Primary measurement: predictability loss on study_run_duration_seconds within the two fastest styles by run duration; winner = highest median normalized deviation.,Community,ACTIVE_2026_03_27
RQ2,Predictability and tail risk,Obs. 2.3,2.3,Third-Party carries the strongest absolute tail-risk profile,Which style carries the strongest absolute tail-risk profile?,Third-Party,Third-Party,Passed,"Kruskal on study_run_duration_seconds: p=1.37e-63, epsilon^2=0.038; vs Community: p_adj=1.71e-54, rbc=0.406, vs GMD: p_adj=1.37e-60, rbc=0.717, vs Custom: p_adj=0.0747, rbc=0.147. stored='Third-Party', winner='Third-Party'. Fail only when winner changes with significant omnibus + pairwise support and meaningful effect size.",Third-Party,Primary measurement: upper-tail burden on study_run_duration_seconds; winner = highest P90.,Third-Party,ACTIVE_2026_03_27
RQ2,Predictability and tail risk,Obs. 2.4,2.4,Custom has a mixed predictability profile and should be interpreted cautiously,Which style shows a mixed predictability profile that should be interpreted cautiously?,Custom,Custom,Passed,"Kruskal on predictability loss on study_pre_invocation_selected_stage3_seconds: p=3.51e-77, epsilon^2=0.077; vs Community: p_adj=0.997, rbc=-0.299, vs GMD: p_adj=3.17e-10, rbc=0.774, vs Third-Party: p_adj=5.25e-07, rbc=0.623. stored='Custom', winner='Community'. Fail only when winner changes with significant omnibus + pairwise support and meaningful effect size.",Community,Primary measurement: predictability loss on study_pre_invocation_selected_stage3_seconds; winner = highest median normalized deviation.,Custom,ACTIVE_2026_03_27
RQ3,Overhead composition and actionable levers,Obs. 3.1,3.1,GMD is the clearest execution-centric style,Which style is the clearest execution-centric overhead profile?,GMD,GMD,Passed,"Kruskal on execution_window_share: p=1.97e-43, epsilon^2=0.043; vs Community: p_adj=2.08e-39, rbc=0.712, vs Third-Party: p_adj=1.06e-24, rbc=0.811, vs Custom: p_adj=5.01e-14, rbc=0.907. stored='GMD', winner='GMD'. Fail only when winner changes with significant omnibus + pairwise support and meaningful effect size.",GMD,Primary measurement: execution_window_share; winner = highest median execution share.,GMD,ACTIVE_2026_03_27
